gender,age,ethnic_group,social_class,religion,marital_status,income,education,party_id,eu_vote,x01_1,x01_2,x01_3,x01_4,x01_5,x01_6,wt_vote
female,55-64,british,middle_class,christian,married,13,gcse,labour,leave,1,1,1,1,1,1,0.8969333185214816
male,55-64,british,working_class,no_religion,married,8,a_level,labour,remain,1,1,1,1,1,1,0.9816263150830126
male,55-64,british,working_class,christian,separated,4,below_gcse,labour,leave,0,0,1,1,1,1,0.4908131575415063
male,25-34,british,working_class,no_religion,single,14,undergrad,no_party,remain,1,0,1,1,0,1,1.5879476616897819
male,35-44,british,middle_class,no_religion,married,11,undergrad,lib_dem,remain,1,1,1,0,1,1,0.4498059919899022
male,65-74,british,middle_class,christian,widowed,8,undergrad,labour,no_vote,0,0,1,0,1,1,0.6109819924740045
female,55-64,british,working_class,christian,married,7,undergrad,cons,leave,0,0,1,1,1,1,0.864867748462389
female,55-64,british,middle_class,christian,married,7,undergrad,cons,leave,1,1,1,1,1,1,0.864867748462389
male,65-74,british,working_class,no_religion,married,6,no_qual,no_party,no_vote,1,0,1,0,0,0,1.724457796488803
female,45-54,british,working_class,no_religion,separated,11,undergrad,cons,remain,1,1,1,1,1,1,0.41317850971303816
male,35-44,british,middle_class,christian,married,15,undergrad,cons,remain,1,0,1,0,1,1,0.9687434157360856
female,55-64,british,working_class,christian,single,7,undergrad,labour,remain,1,1,1,1,1,1,0.37753845936031405
female,75-84,british,middle_class,christian,married,15,undergrad,cons,remain,1,1,1,1,1,1,0.947432597109627
female,35-44,british,working_class,christian,married,13,a_level,cons,remain,1,0,1,0,1,1,1.1118912355274555
male,65-74,british,working_class,christian,widowed,14,no_qual,cons,leave,1,1,1,0,1,1,0.5764831397693551
female,75-84,british,working_class,no_religion,widowed,4,no_qual,cons,leave,1,1,0,0,0,0,0.5768629056451159
male,55-64,british,middle_class,christian,married,13,undergrad,other_party,remain,1,1,1,1,1,1,0.826375113982583
female,35-44,british,middle_class,christian,married,8,undergrad,cons,remain,1,1,1,1,1,1,0.38639742678939754
male,65-74,british,middle_class,christian,married,3,undergrad,cons,remain,1,1,1,1,1,1,0.817000724705732
male,65-74,british,working_class,no_religion,married,11,no_qual,labour,remain,1,1,1,1,1,1,1.006602717341049
male,55-64,british,middle_class,no_religion,married,12,undergrad,cons,leave,1,1,1,1,1,1,0.9465329511414996
male,35-44,other,working_class,other_religion,married,3,undergrad,labour,remain,1,0,1,0,0,1,1.6915321323644212
female,25-34,other,working_class,no_religion,married,10,postgrad,labour,no_vote,0,0,1,0,0,1,2.8935090822162293
male,18-24,british,working_class,no_religion,single,12,no_qual,labour,no_vote,0,0,1,1,0,0,4.165123957318315
female,45-54,british,middle_class,no_religion,married,10,below_gcse,no_party,remain,1,1,1,0,1,0,1.763030469769386
male,85plus,british,working_class,christian,widowed,3,gcse,cons,remain,1,1,0,0,1,0,0.6313332292192384
female,65-74,british,working_class,christian,married,9,no_qual,cons,leave,1,0,1,0,0,0,2.106980742794305
female,75-84,british,working_class,christian,widowed,5,no_qual,cons,remain,1,1,1,0,0,1,0.5768629056451159
male,45-54,british,middle_class,christian,married,9,undergrad,cons,leave,1,0,0,0,1,1,2.071773428379038
female,55-64,british,middle_class,christian,separated,5,a_level,labour,remain,1,1,1,1,1,1,0.4484666592607408
female,55-64,british,middle_class,no_religion,single,13,postgrad,no_party,leave,1,1,1,1,1,1,1.729735496924778
male,45-54,british,working_class,no_religion,married,10,gcse,labour,no_vote,1,0,0,0,0,1,3.8478714459871624
male,55-64,british,working_class,christian,separated,4,gcse,cons,no_vote,1,0,0,0,0,0,0.8408347817473373
male,45-54,british,middle_class,no_religion,single,7,undergrad,cons,remain,1,1,1,0,1,1,0.5179433570947595
female,45-54,british,working_class,no_religion,single,9,postgrad,no_party,remain,1,1,1,1,1,1,0.4103315766469351
male,25-34,other,middle_class,other_religion,single,4,no_qual,lib_dem,leave,0,0,0,0,0,0,0.9474068710912317
female,25-34,british,middle_class,no_religion,separated,7,no_qual,labour,no_vote,1,1,1,0,0,0,0.8656662681318305
male,35-44,other,middle_class,other_religion,separated,13,gcse,labour,leave,1,0,1,0,1,0,1.062404336534459
male,35-44,other,working_class,christian,single,8,postgrad,labour,leave,0,0,1,0,0,0,0.4228830330911053
male,18-24,other,working_class,other_religion,single,4,gcse,labour,remain,1,0,1,0,1,1,3.0390893749586034
female,18-24,british,working_class,christian,single,9,undergrad,lib_dem,remain,1,0,1,1,1,1,0.7326200316253187
female,75-84,british,working_class,christian,married,5,no_qual,cons,leave,1,1,1,0,1,1,1.1537258112902318
male,35-44,british,middle_class,christian,married,13,postgrad,labour,remain,1,1,1,1,1,1,0.8457660661822106
male,65-74,british,working_class,other_religion,separated,3,a_level,lib_dem,leave,1,1,1,1,1,1,0.5764831397693551
male,55-64,british,working_class,christian,married,8,undergrad,labour,leave,1,1,1,1,1,1,0.826375113982583
female,55-64,other,working_class,other_religion,married,4,undergrad,labour,leave,0,1,1,0,0,0,0.37753845936031405
female,75-84,british,working_class,christian,married,5,no_qual,cons,leave,0,1,1,0,0,0,1.1537258112902318
male,45-54,british,middle_class,christian,married,9,no_qual,labour,remain,1,0,1,1,1,1,1.6845633427777211
female,55-64,british,middle_class,christian,married,14,gcse,cons,leave,1,0,1,0,1,1,1.027350565853524
female,55-64,british,working_class,christian,married,7,no_qual,cons,leave,1,0,1,0,0,1,1.027350565853524
male,55-64,british,middle_class,no_religion,married,14,postgrad,labour,remain,1,1,1,1,1,1,0.826375113982583
female,35-44,british,working_class,no_religion,married,8,below_gcse,labour,remain,0,0,1,0,0,1,0.48537097698877474
male,45-54,british,middle_class,no_religion,married,15,undergrad,cons,leave,1,0,1,1,1,1,0.8981543337248361
male,25-34,british,working_class,no_religion,separated,6,gcse,labour,remain,1,1,1,1,1,1,0.5530215542588415
female,25-34,british,working_class,no_religion,single,3,undergrad,labour,leave,1,0,1,0,0,0,0.4222507084169125
male,75-84,british,working_class,no_religion,married,5,no_qual,cons,leave,1,1,1,1,1,1,1.2626664584384768
female,45-54,other,working_class,christian,married,10,undergrad,labour,leave,1,0,1,1,1,1,0.41317850971303816
male,85plus,british,middle_class,christian,widowed,3,no_qual,cons,leave,1,1,1,0,1,1,0.6313332292192384
female,55-64,british,middle_class,no_religion,single,7,no_qual,cons,leave,1,0,0,0,1,1,1.027350565853524
male,45-54,british,working_class,no_religion,married,7,gcse,no_party,leave,0,0,1,0,0,0,1.9239357229935812
female,65-74,british,middle_class,christian,married,7,no_qual,cons,leave,1,1,1,1,0,1,1.5802355570957287
male,18-24,british,middle_class,no_religion,single,12,undergrad,cons,leave,1,0,1,0,1,1,0.801797733621753
male,25-34,british,working_class,no_religion,single,7,a_level,labour,remain,1,1,1,1,1,0,1.106043108517683
female,55-64,british,working_class,no_religion,separated,10,no_qual,cons,remain,1,1,1,0,0,0,1.027350565853524
male,55-64,british,working_class,no_religion,single,4,a_level,cons,leave,1,1,1,0,1,1,0.5621791104380125
female,45-54,british,working_class,christian,married,11,no_qual,labour,leave,1,0,1,0,0,0,1.0261481150081617
female,65-74,british,working_class,christian,separated,3,below_gcse,cons,leave,1,1,1,1,1,1,0.4598774003023222
female,65-74,british,working_class,christian,separated,6,no_qual,cons,leave,1,1,1,0,0,0,0.5267451856985762
female,85plus,british,working_class,christian,widowed,3,no_qual,no_party,no_vote,1,0,0,0,0,0,0.862796902909341
female,55-64,british,working_class,no_religion,married,1,a_level,labour,no_vote,1,0,0,0,0,0,0.8969333185214816
male,55-64,british,working_class,no_religion,separated,3,gcse,labour,leave,1,1,1,1,1,1,0.4908131575415063
male,75-84,british,working_class,christian,widowed,3,no_qual,cons,no_vote,1,0,0,0,0,0,0.944266565840199
female,75-84,british,working_class,christian,widowed,3,below_gcse,labour,no_vote,1,0,1,0,0,1,0.862796902909341
female,65-74,british,middle_class,no_religion,married,7,undergrad,labour,remain,1,1,1,1,1,1,0.32587264345068884
male,55-64,british,working_class,no_religion,married,8,no_qual,no_party,leave,1,1,1,0,0,1,1.6816695634946746
female,45-54,british,middle_class,christian,married,6,undergrad,labour,remain,1,0,0,0,0,0,1.41567053245867
female,25-34,british,middle_class,no_religion,married,4,no_qual,labour,leave,1,0,1,0,0,1,1.0106156492623029
female,85plus,british,working_class,christian,single,3,no_qual,labour,leave,1,0,0,0,0,0,0.862796902909341
female,55-64,british,working_class,christian,single,4,a_level,labour,remain,1,0,0,0,0,0,0.4484666592607408
female,55-64,british,working_class,christian,single,9,no_qual,labour,no_vote,1,0,1,0,0,1,0.4484666592607408
female,75-84,british,working_class,christian,married,3,no_qual,cons,leave,1,1,1,0,1,1,1.1537258112902318
female,65-74,british,working_class,christian,widowed,5,no_qual,labour,remain,1,1,1,1,1,1,0.4598774003023222
male,35-44,british,working_class,no_religion,married,5,a_level,cons,leave,1,0,0,0,0,1,0.6084408248447589
male,45-54,british,middle_class,no_religion,married,11,undergrad,cons,no_vote,1,0,0,0,0,0,1.5493453297506512
male,65-74,british,working_class,christian,married,6,gcse,labour,leave,1,1,0,0,0,1,1.0134657598826946
male,45-54,british,middle_class,christian,married,15,undergrad,cons,leave,1,1,1,1,1,1,1.5538300712842774
female,65-74,british,working_class,christian,married,8,undergrad,cons,leave,1,0,1,1,1,1,0.7465113353066517
female,35-44,british,middle_class,christian,married,13,undergrad,cons,remain,1,1,1,1,1,1,0.6619553510945163
female,65-74,british,working_class,no_religion,separated,3,undergrad,lib_dem,leave,1,1,1,1,0,1,0.32587264345068884
female,45-54,british,middle_class,no_religion,married,15,undergrad,cons,remain,1,1,1,1,1,1,0.9465122255730742
male,55-64,british,working_class,no_religion,married,12,undergrad,labour,leave,1,1,1,1,1,1,0.9465329511414996
male,35-44,british,middle_class,no_religion,married,11,undergrad,lib_dem,remain,1,0,1,1,1,1,0.8457660661822106
male,65-74,british,middle_class,christian,married,6,postgrad,cons,no_vote,1,1,1,1,1,1,1.221963984948009
female,25-34,british,middle_class,christian,married,12,undergrad,labour,remain,1,1,1,1,0,1,0.844501416833825
female,55-64,british,working_class,no_religion,separated,2,no_qual,labour,leave,1,0,1,0,0,1,0.4484666592607408
male,55-64,british,working_class,christian,married,1,undergrad,labour,leave,1,1,1,1,1,1,0.826375113982583
female,55-64,british,working_class,no_religion,married,9,undergrad,labour,leave,1,1,1,1,1,1,0.7550769187206281
female,55-64,british,middle_class,christian,married,5,no_qual,cons,leave,1,1,1,0,0,0,1.027350565853524
male,25-34,other,working_class,other_religion,married,5,undergrad,labour,no_vote,1,1,1,1,1,1,0.9242435271057632
male,65-74,british,middle_class,no_religion,married,6,undergrad,labour,remain,1,1,1,1,1,1,1.4265727699988389
female,55-64,british,working_class,christian,married,7,undergrad,labour,remain,1,1,1,1,1,1,1.5101538374412562
female,45-54,british,middle_class,christian,married,7,undergrad,cons,leave,1,1,1,0,0,1,1.41567053245867
male,35-44,british,working_class,christian,married,4,a_level,no_party,leave,1,1,0,1,1,1,0.5312021682672295
female,75-84,british,working_class,christian,widowed,3,no_qual,labour,remain,1,1,1,0,0,1,0.862796902909341
female,45-54,british,working_class,no_religion,separated,14,a_level,labour,no_vote,1,0,1,1,1,1,0.8789709618271221
female,35-44,british,middle_class,no_religion,married,13,postgrad,labour,no_vote,1,1,1,1,0,0,0.7727948535787951
female,18-24,british,working_class,no_religion,single,5,a_level,labour,remain,1,0,1,1,1,0,2.85432327634899
male,25-34,british,middle_class,no_religion,married,6,below_gcse,ukip,leave,1,0,1,1,1,0,1.8948137421824633
female,55-64,british,working_class,christian,married,10,gcse,cons,leave,1,1,1,0,0,1,1.027350565853524
male,75-84,british,middle_class,no_religion,separated,9,postgrad,cons,leave,1,1,1,1,1,1,2.073787983756293
male,35-44,british,working_class,no_religion,married,8,a_level,no_party,leave,1,0,1,1,1,0,1.8200541381408115
female,35-44,british,middle_class,no_religion,married,14,undergrad,cons,remain,1,0,1,0,1,1,0.8851619331318789
male,45-54,british,middle_class,no_religion,married,13,gcse,cons,remain,1,0,1,0,1,1,1.2863365036408019
male,65-74,british,middle_class,no_religion,married,8,undergrad,cons,leave,1,1,1,1,1,1,0.817000724705732
female,55-64,british,working_class,no_religion,married,12,a_level,labour,remain,1,1,1,0,0,1,0.9540368128210815
female,45-54,british,working_class,christian,married,13,undergrad,no_party,remain,1,0,1,0,1,1,0.8263570194260763
female,75-84,british,middle_class,christian,married,5,no_qual,green_party,leave,1,1,1,0,1,0,1.0003254440339735
male,65-74,british,middle_class,no_religion,married,11,undergrad,labour,leave,1,1,1,0,1,1,0.7132863849994194
female,45-54,british,middle_class,no_religion,separated,10,undergrad,no_party,remain,1,1,1,0,0,1,1.41567053245867
male,55-64,british,middle_class,christian,married,6,undergrad,cons,leave,1,1,1,1,1,1,0.9465329511414996
female,45-54,british,middle_class,no_religion,single,6,undergrad,cons,remain,1,0,0,0,0,0,0.707835266229335
female,45-54,british,middle_class,no_religion,married,13,undergrad,cons,remain,1,0,1,0,1,1,1.4197683383596116
female,55-64,british,working_class,christian,separated,1,no_qual,cons,remain,1,0,1,0,0,1,0.7682890317148304
female,45-54,british,working_class,christian,separated,6,gcse,cons,leave,1,1,1,0,0,1,0.5876768232564624
female,35-44,british,middle_class,no_religion,single,10,postgrad,green_party,remain,1,1,1,1,1,1,0.38373502401402587
male,18-24,british,working_class,no_religion,married,6,gcse,labour,no_vote,0,0,0,0,0,1,2.0825619786591574
male,55-64,british,middle_class,no_religion,married,13,undergrad,cons,remain,1,1,1,1,1,1,0.9465329511414996
male,55-64,british,middle_class,no_religion,married,14,no_qual,cons,leave,0,1,1,0,0,1,1.124358220876025
female,45-54,british,working_class,no_religion,married,6,undergrad,no_party,remain,1,1,1,1,1,1,0.8263570194260763
male,35-44,other,middle_class,other_religion,married,13,undergrad,cons,no_vote,1,0,1,1,1,1,0.38295259746865346
female,35-44,other,working_class,christian,single,5,no_qual,no_party,no_vote,1,0,1,0,1,1,3.011986533084591
female,45-54,other,working_class,christian,single,7,postgrad,labour,leave,1,0,1,0,0,1,0.37416441694587194
male,18-24,british,working_class,no_religion,married,3,a_level,labour,remain,1,0,1,1,0,0,1.1008501916690054
female,65-74,british,middle_class,christian,separated,1,undergrad,cons,remain,1,0,1,0,1,0,0.3380112614188117
female,75-84,british,working_class,christian,widowed,4,no_qual,cons,leave,1,1,1,1,1,1,0.5223930278908095
female,25-34,british,working_class,no_religion,married,5,a_level,no_party,leave,1,1,1,1,1,0,1.5678526683791563
female,75-84,british,middle_class,christian,widowed,8,no_qual,cons,no_vote,1,0,1,0,1,0,0.7813279067780873
female,45-54,british,middle_class,christian,married,15,postgrad,lib_dem,remain,1,1,1,1,1,1,0.7959713848127017
male,65-74,british,middle_class,christian,married,11,gcse,cons,leave,1,1,0,0,1,1,0.52204912114314594
female,45-54,british,working_class,christian,widowed,5,gcse,labour,no_vote,0,0,1,0,0,0,0.4646273972704859
female,45-54,british,working_class,christian,married,6,no_qual,labour,remain,1,1,0,0,1,1,1.591949482913871
male,55-64,british,working_class,no_religion,separated,10,gcse,labour,remain,1,1,1,1,1,1,0.44446846726957207
female,25-34,british,middle_class,christian,single,13,postgrad,cons,remain,1,0,1,0,0,1,1.3139381054726498
female,45-54,british,middle_class,christian,married,10,below_gcse,cons,leave,1,0,1,0,0,0,1.59655754660914
male,35-44,british,middle_class,christian,married,12,undergrad,lib_dem,remain,1,1,1,1,0,1,0.43863524699141293
female,45-54,british,working_class,christian,separated,3,below_gcse,cons,remain,1,0,1,0,0,0,0.5321858488697135
female,35-44,british,working_class,no_religion,married,15,gcse,ukip,leave,1,0,1,0,0,1,1.006901680673803
female,35-44,british,working_class,christian,married,14,gcse,labour,leave,1,0,1,0,0,0,0.8790803216439519
male,65-74,british,middle_class,no_religion,married,6,undergrad,cons,leave,1,1,1,1,1,1,0.7398560007784177
male,55-64,british,middle_class,christian,married,7,gcse,cons,no_vote,1,0,1,0,0,0,1.5228790871955364
female,55-64,british,working_class,christian,separated,3,no_qual,labour,leave,1,0,1,1,0,1,0.4061205075706844
male,35-44,british,middle_class,christian,married,15,undergrad,cons,leave,1,1,1,1,1,1,0.8772704939828259
female,65-74,british,working_class,christian,married,4,below_gcse,cons,leave,1,1,1,0,0,1,0.9540152774297761
female,18-24,british,middle_class,no_religion,single,6,a_level,labour,remain,1,0,1,0,1,0,1.0058707681702583
male,65-74,british,middle_class,christian,separated,4,below_gcse,ukip,leave,1,0,1,0,0,1,0.52204912114314594
female,35-44,british,working_class,no_religion,married,9,a_level,cons,leave,1,1,1,1,1,1,0.43954016082197594
female,75-84,british,working_class,christian,married,5,gcse,labour,leave,1,1,1,1,1,1,0.9183745550313915
female,85plus,other,working_class,christian,widowed,5,no_qual,labour,remain,1,0,1,1,0,0,0.7813279067780873
female,65-74,british,working_class,no_religion,separated,5,no_qual,labour,leave,1,0,1,1,0,0,0.41929318976566216
female,25-34,british,working_class,no_religion,married,8,no_qual,labour,leave,1,1,1,0,1,0,2.351779002568734
male,55-64,british,working_class,christian,single,12,gcse,cons,no_vote,1,1,1,0,1,1,1.5228790871955364
female,75-84,british,middle_class,christian,single,12,undergrad,cons,remain,1,1,1,1,1,1,0.42898596727506705
female,45-54,british,middle_class,christian,single,15,undergrad,lib_dem,remain,1,1,1,1,1,1,0.37416441694587194
female,55-64,british,working_class,christian,separated,3,no_qual,labour,leave,1,0,1,1,1,1,0.4061205075706844
female,25-34,british,working_class,no_religion,married,6,gcse,cons,leave,1,0,1,0,0,1,3.1357053367583125
female,85plus,british,middle_class,no_religion,widowed,4,a_level,cons,leave,1,1,1,1,0,1,0.5223930278908095
female,55-64,british,working_class,christian,married,7,no_qual,cons,leave,1,1,1,1,1,1,1.8606874096068948
female,65-74,british,middle_class,christian,married,11,undergrad,cons,remain,1,1,1,1,0,1,1.3520450456752469
male,65-74,british,middle_class,no_religion,married,10,a_level,cons,leave,1,1,1,1,1,1,2.0881964845725838
male,65-74,british,working_class,no_religion,married,4,no_qual,labour,leave,1,1,1,0,1,1,0.52204912114314594
female,65-74,british,working_class,christian,separated,3,no_qual,labour,no_vote,1,1,1,0,1,0,0.7134463133611408
female,55-64,british,working_class,christian,widowed,4,no_qual,labour,leave,1,0,1,1,1,1,0.4061205075706844
male,55-64,british,working_class,christian,married,3,gcse,labour,no_vote,1,0,1,0,1,0,1.5228790871955364
female,65-74,british,working_class,christian,married,12,undergrad,cons,leave,1,1,1,1,1,1,0.6760225228376234
female,85plus,british,middle_class,christian,single,4,gcse,lib_dem,remain,1,0,0,1,1,0,0.9121554562814995
female,25-34,british,working_class,no_religion,single,8,undergrad,cons,leave,1,0,1,1,1,1,0.4379793684908832
female,25-34,other,working_class,christian,married,13,undergrad,labour,remain,0,0,1,0,0,0,0.7647599592220995
male,18-24,other,working_class,christian,single,11,undergrad,no_party,no_vote,0,0,0,0,0,0,1.0859893030728158
male,55-64,british,working_class,christian,single,2,no_qual,cons,remain,1,1,1,1,1,1,0.5090957398105701
male,45-54,british,working_class,no_religion,married,5,no_qual,cons,leave,1,0,1,0,1,1,1.1648750759453264
male,85plus,other,working_class,christian,widowed,5,no_qual,lib_dem,remain,1,0,1,0,0,1,0.49914290217719665
male,45-54,british,working_class,no_religion,single,6,no_qual,cons,no_vote,0,0,1,0,1,0,0.8711347167295713
female,45-54,british,working_class,no_religion,married,4,no_qual,no_party,remain,0,0,1,0,1,0,1.591949482913871
female,25-34,british,working_class,no_religion,married,4,gcse,labour,remain,1,1,0,0,1,1,0.9151889710460192
male,65-74,british,working_class,christian,married,3,gcse,labour,leave,1,1,1,1,1,1,0.9115549574241539
male,35-44,british,working_class,no_religion,married,6,no_qual,labour,no_vote,0,0,0,0,0,1,2.4722951922657406
female,55-64,british,working_class,christian,married,7,a_level,cons,leave,1,1,1,1,0,1,0.9303437048034474
male,25-34,british,middle_class,christian,married,10,undergrad,cons,leave,0,1,1,1,0,0,0.9586712070921775
female,75-84,british,middle_class,christian,widowed,3,no_qual,cons,no_vote,1,1,1,1,1,1,0.7813279067780873
male,45-54,british,middle_class,christian,married,7,undergrad,labour,remain,1,1,1,1,1,1,1.228484761098649
female,45-54,british,middle_class,no_religion,married,14,undergrad,no_party,remain,1,1,1,1,1,1,0.37416441694587194
male,25-34,british,middle_class,no_religion,single,11,postgrad,cons,remain,1,1,1,1,0,1,0.47933560354608873
female,55-64,british,middle_class,no_religion,separated,8,undergrad,cons,remain,1,1,1,1,1,1,0.363656147709369
female,35-44,british,working_class,no_religion,married,14,undergrad,lib_dem,remain,1,1,1,1,1,1,0.4007905673058766
male,35-44,british,working_class,no_religion,married,6,no_qual,no_party,leave,1,0,1,1,1,0,1.6481967948438259
female,18-24,british,middle_class,christian,single,12,gcse,cons,no_vote,0,1,1,0,1,1,1.7281918535906475
female,45-54,british,working_class,no_religion,separated,10,undergrad,no_party,remain,1,0,1,0,1,1,0.3715863035500368
male,75-84,british,middle_class,no_religion,married,12,gcse,lib_dem,remain,1,1,1,1,1,1,0.9982858043543933
male,45-54,british,middle_class,no_religion,married,15,postgrad,cons,remain,1,1,1,1,1,1,0.4690369166415353
female,25-34,british,middle_class,no_religion,married,12,postgrad,labour,remain,1,0,1,1,1,1,0.38237997961104975
male,25-34,british,middle_class,christian,married,13,undergrad,no_party,remain,1,0,1,0,0,0,0.7169281819763458
male,65-74,other,middle_class,christian,married,12,undergrad,cons,leave,1,1,1,1,1,1,0.7398560007784177
male,45-54,british,working_class,christian,married,12,undergrad,labour,leave,1,1,1,1,1,1,0.9380738332830706
male,75-84,british,middle_class,christian,married,4,undergrad,cons,leave,1,1,0,1,1,1,0.9389859994780884
male,18-24,british,working_class,no_religion,single,3,below_gcse,labour,remain,1,0,1,0,1,1,1.1008501916690054
female,65-74,british,working_class,christian,single,4,below_gcse,cons,leave,1,0,0,1,1,1,0.47700763871488805
female,65-74,british,working_class,christian,separated,6,a_level,cons,leave,1,0,1,1,1,1,0.47700763871488805
male,35-44,british,working_class,no_religion,married,14,no_qual,labour,remain,0,0,1,0,0,1,0.9620875476226106
female,45-54,british,middle_class,christian,married,15,gcse,cons,leave,1,1,1,0,0,1,1.064371697739427
female,35-44,british,middle_class,christian,married,14,a_level,cons,remain,1,0,0,0,0,1,2.013803361347606
female,65-74,british,middle_class,christian,married,10,gcse,cons,remain,1,1,1,1,1,1,0.9540152774297761
female,55-64,british,working_class,no_religion,married,10,undergrad,labour,remain,1,1,1,1,1,1,0.6837793070085079
female,55-64,british,working_class,no_religion,married,5,gcse,cons,leave,1,1,1,1,1,1,1.6244820302827376
female,55-64,british,working_class,christian,married,6,no_qual,labour,leave,1,0,1,0,0,1,0.8122410151413688
female,18-24,british,working_class,christian,married,8,gcse,labour,remain,1,0,0,0,1,1,1.0058707681702583
female,35-44,british,working_class,no_religion,married,8,undergrad,cons,leave,1,0,1,0,1,0,0.8015811346117532
female,25-34,british,working_class,no_religion,single,14,undergrad,labour,no_vote,1,0,1,1,1,1,0.6550728760233339
female,65-74,british,middle_class,christian,single,1,no_qual,cons,leave,1,0,0,0,0,0,0.47700763871488805
female,75-84,other,working_class,christian,separated,3,no_qual,labour,leave,1,0,1,0,0,1,0.7813279067780873
male,18-24,british,working_class,no_religion,single,12,undergrad,no_party,no_vote,1,0,1,0,0,0,1.6289839546092237
female,55-64,british,working_class,no_religion,married,6,gcse,ukip,leave,1,0,0,0,1,1,0.817778894728769
female,55-64,british,working_class,no_religion,separated,9,undergrad,cons,leave,1,1,1,1,1,1,1.1748048212749547
female,65-74,british,middle_class,christian,widowed,10,below_gcse,labour,leave,1,0,1,0,1,0,0.4164537973434487
male,65-74,british,middle_class,no_religion,single,4,undergrad,labour,leave,1,1,1,1,1,1,0.32296740765159243
male,45-54,british,working_class,christian,married,7,undergrad,cons,remain,1,0,1,1,1,1,0.9380738332830706
female,35-44,british,working_class,christian,separated,1,a_level,labour,leave,1,0,1,0,1,0,1.5059932665422955
female,55-64,british,working_class,christian,separated,4,a_level,labour,leave,1,0,1,0,0,1,0.4061205075706844
female,55-64,british,working_class,christian,married,9,no_qual,no_party,no_vote,1,0,1,0,0,0,0.695743875442941
female,55-64,british,working_class,christian,married,6,gcse,cons,leave,1,0,1,0,0,0,0.9303437048034474
female,45-54,british,working_class,no_religion,separated,2,below_gcse,no_party,no_vote,0,0,1,0,1,0,1.591949482913871
female,85plus,british,working_class,christian,widowed,6,a_level,cons,remain,1,1,1,1,1,1,0.5223930278908095
male,55-64,british,middle_class,no_religion,married,15,postgrad,labour,remain,0,0,1,0,1,1,1.285735855538153
female,75-84,british,middle_class,christian,separated,3,undergrad,cons,remain,1,1,1,0,0,1,0.42898596727506705
female,65-74,british,middle_class,christian,separated,1,a_level,labour,remain,1,0,1,1,1,1,0.4164537973434487
male,35-44,british,working_class,no_religion,married,8,a_level,cons,remain,1,0,1,1,1,0,1.1019784481638093
female,25-34,british,working_class,no_religion,married,7,gcse,cons,leave,1,0,1,0,0,0,1.5678526683791563
female,45-54,british,working_class,no_religion,married,11,gcse,labour,remain,1,0,1,0,0,0,1.59655754660914
male,18-24,british,middle_class,no_religion,single,13,a_level,green_party,no_vote,1,1,1,1,1,1,2.733162447832469
male,55-64,british,middle_class,no_religion,single,5,postgrad,lib_dem,remain,1,1,1,0,1,1,0.39799440701085076
